date,content,total_minutes
2023-04-01,医療秘書課2023年4月以降の体制整備,130.0
2023-04-01,田中先生の電子カルテ説明　1000-1100,120.0
2023-04-01,翌週の手術指示確認,20.0
2023-04-01,翌日の予定確認とwill doリスト作成　1910,10.0
2023-04-01,レターケース/OBC/メール確認　1130,10.0
2023-04-01,グラフ化の相談(白岡さん)　対応は4/6以降,10.0
2023-04-01,エアコンの電源を入れる　1225,5.0
2023-04-03,横山先生のクラーク業務 1700-1930,150.0
2023-04-03,医療秘書課2023年4月以降の体制整備　900-1100,130.0
2023-04-03,鎌田先生のクラーク業務 午前中,120.0
2023-04-03,病棟変更　ID208389,10.0
2023-04-03,9月以降の正職員の働き方の要望(植田センター長)　人数報告,10.0
2023-04-03,前月のOBC内容確認,10.0
2023-04-03,レターケース/OBC/メール確認　1200,10.0
2023-04-03,翌日の予定確認とwill doリスト作成　1930,10.0
2023-04-03,エアコンの電源を入れる　1225,5.0
2023-04-04,アイハンストーリック発注　ID207972,20.0
2023-04-04,翌週の手術指示確認,20.0
2023-04-04,内科非常勤医師チェックリストの更新,20.0
2023-04-04,4/6鎌田先生外来の確認(植田さん)　花崎さんにメールで連絡,10.0
2023-04-04,レターケース/OBC/メール確認　1130,10.0
2023-04-04,院外処方関連の連絡(医療秘書課),10.0
2023-04-04,アイセンター非常勤医師勤務記録の確認と提出,10.0
2023-04-04,翌日の予定確認とwill doリスト作成　1910,10.0
2023-04-04,鈴木先生執刀の主治医は田中先生の連絡,10.0
2023-04-04,エアコンの電源を入れる　1225,5.0
2023-04-05,医療秘書課2023年4月以降の体制整備　1800-1900,70.0
2023-04-05,VscodeとGitHubの設定　1920-2000,40.0
2023-04-05,眼科紹介状確認 4通,30.0
2023-04-05,翌週の手術指示確認,20.0
2023-04-05,翌日の予定確認とwill doリスト作成　1910,10.0
2023-04-05,眼科常勤医師チェックリストの更新　鈴木先生のメモを振り返る,10.0
2023-04-05,レターケース/OBC/メール確認　1130,10.0
2023-04-05,耳鼻科診断書作成 2通,10.0
2023-04-05,予約変更確認連絡　ID196103　夕方,10.0
2023-04-05,トーリックIOL発注確認 3件,10.0
2023-04-05,エアコンの電源を入れる　1225,5.0
2023-04-06,医療秘書課2023年4月以降の体制整備　930-1130,130.0
2023-04-06,JEDレポートの項目追加(白岡さん)　4/10から入力開始,20.0
2023-04-06,翌週の手術指示確認,20.0
2023-04-06,後発品不可の押印　QRコードも押す,20.0
2023-04-06,アイハンストーリックⅡ　DIUの資料入手とOA2000登録依頼(ORT)(長谷川さん),20.0
2023-04-06,全麻手術時の点眼パターンの確認(医療秘書課),10.0
2023-04-06,レターケース/OBC/メール確認　1130,10.0
2023-04-06,翌日の予定確認とwill doリスト作成　1910,10.0
2023-04-06,院内感染対策講習会の名簿確認と連絡,10.0
2023-04-06,全体朝礼の案内(医療秘書課)　全職員対象　参加できない人は録画,10.0
2023-04-06,不要になった印鑑の回収依頼(医局秘書)　笹島先生,10.0
2023-04-06,新田眼科へ診療情報提供の返書確認(橋本副院長)(ID208015) ,10.0
2023-04-06,石黒さん人事届　休職から復帰,10.0
2023-04-06,今月の不在連絡　4/28午前,10.0
2023-04-06,エアコンの電源を入れる　1225,5.0
2023-04-07,2023年度医療秘書課部署目標の設定　900-1100,130.0
2023-04-07,翌週の手術指示確認,20.0
2023-04-07,耳鼻科診断書作成 1通,10.0
2023-04-07,レターケース/OBC/メール確認　1130,10.0
2023-04-07,全体朝礼　830-840,10.0
2023-04-07,有給休暇1時間単位の取得の連絡(アイセンター医療秘書課)　来年度にはできる予定,10.0
2023-04-07,眼科入退院登録　1件,10.0
2023-04-07,吉崎さんからの問い合わせ,10.0
2023-04-07,翌日の予定確認とwill doリスト作成　1910,10.0
2023-04-07,エアコンの電源を入れる　1225,5.0
2023-04-08,眼科即入対応,40.0
2023-04-08,2023年度医療秘書課部署目標の設定　900-1100,40.0
2023-04-08,翌週の手術指示確認,20.0
2023-04-08,石黒さんの内勤業務準備,20.0
2023-04-08,眼科紹介状確認 4通,20.0
2023-04-08,翌日の予定確認とwill doリスト作成　1910,10.0
2023-04-08,院内感染対策講習会の名簿提出(感染対策室)　1130,10.0
2023-04-08,レターケース/OBC/メール確認　1130,10.0
2023-04-08,田中先生のレンズと倒像鏡の位置(中野さん)(医療秘書課),10.0
2023-04-08,耳鼻科診断書作成 1通,10.0
2023-04-08,エアコンの電源を入れる　1225,5.0
2023-04-10,田中先生のクラーク業務 850-1120,150.0
2023-04-10,2023年度医療秘書課部署目標の設定　1630-1830,130.0
2023-04-10,入院手術登録確認 3件 ID49912　203493　160601,20.0
2023-04-10,メキソトレート硝子体内注射のオーダー修正(川西副主任),20.0
2023-04-10,翌週の手術指示確認,20.0
2023-04-10,レターケース/OBC/メール確認　1130,10.0
2023-04-10,前月の体調管理表のスキャンと細断,10.0
2023-04-10,橋本副院長院外処方シュミレーションボタンを削除する,10.0
2023-04-10,眼科即入対応1件,10.0
2023-04-10,石黒さんにお見舞いを渡す　病院と医療秘書課から　840,10.0
2023-04-10,翌日の予定確認とwill doリスト作成　1910,10.0
2023-04-10,入院手術登録 1件 ID209310,10.0
2023-04-10,4/10以降の体制連絡(アイセンター医療秘書課),10.0
2023-04-10,石田先生9/22休診対応と第三金曜日の枠数確認,10.0
2023-04-10,田中先生のレンズと倒像鏡の位置(山本さん)(医療秘書課),10.0
2023-04-10,LASIK後IOL度数計算　ID95594,10.0
2023-04-10,LASIK後IOL度数計算の依頼(ORT)　ID95594,10.0
2023-04-10,エアコンの電源を入れる　1225,5.0
2023-04-10,アイセンター外来幹部会合の日程連絡,5.0
2023-04-10,アイセンタークラーク会合の日程連絡,5.0
2023-04-11,渡辺先生のクラーク　900-1230,240.0
2023-04-11,翌週の手術指示確認,20.0
2023-04-11,レターケース/OBC/メール確認　1130,10.0
2023-04-11,翌日の予定確認とwill doリスト作成　1910,10.0
2023-04-11,LASIK後IOL度数計算　ID95594 OA2000で-2.0D狙いも,10.0
2023-04-11,2022年度人事評価実施計画の作成準備,10.0
2023-04-11,エアコンの電源を入れる　1225,5.0
2023-04-12,2022年度人事評価実施計画の作成　930-1130,130.0
2023-04-12,訪問看護指示書の作成,90.0
2023-04-12,眼内ドレーン挿入術から点滴を削除して報告　パス　眼科申し送り書,30.0
2023-04-12,多職種役割分担推進会議の日程調整(二村副院長),20.0
2023-04-12,多職種役割分担推進会議のメンバー変更(二村副院長),20.0
